method,average_function_value,average_error,average_time_duration,average_total_memory
Algorytm Ewolucji Roznicowej,0.0007621475047608256,0.0007621475047608256,0.23535866975784303,0.0
Algorytm Strategii Ewolucyjnych,0.47297488706152857,0.47297488706152857,0.24884979963302611,0.00046875
Algorytm Genetyczny,0.43788908224823897,0.43788908224823897,0.24959770441055298,0.000390625
System Sztucznego Rozpoznawania Ukladu Immunologicznego,0.2631377845011387,0.2631377845011387,0.2380341863632202,0.001875
Algorytm Selekcji Klonalnej,0.4483104292884852,0.4483104292884852,1.6027918362617493,0.016171875
Algorytm Komorek Dendrytycznych,1.0290005831827091,1.0290005831827091,0.23406596899032592,0.00015625
Algorytm Harmonijnego Przeszukiwania,4.842031594311953,4.842031594311953,0.2331792211532593,0.0002734375
Algorytm Memetyczny,0.04206429893826061,0.04206429893826061,1.6251313066482544,0.0017578125
Algorytm Symulowanego Wyzarzania,8.795539038454233,8.795539038454233,0.23317307472229004,0.0
Zachlanny Algorytm Losowego Adaptacyjnego Przeszukiwania,0.13425126498862577,0.13425126498862577,0.24891863346099855,0.0
Losowe Poszukiwanie,19.78527743495473,19.78527743495473,0.23318833827972413,0.0
Przeszukiwanie z Zakazem,0.14778234910414967,0.14778234910414967,0.24867285013198853,0.0
System Kolonii Mrowek,1.2452615023251061,1.2452615023251061,0.23366806745529176,0.0
Algorytm Optymalizacji Rojem Czastek,0.1501332349458802,0.1501332349458802,0.24890161752700807,0.0004296875
Algorytm Optymalizacji Poprzez Rozwoj Bakteryjny,0.00015349109193236245,0.00015349109193236245,11.975951800346374,0.0016015625
