method,function_value,error,arguments,time_duration,total_memory
diffrential evolution algorithm,1.5495731028658717e-08,1.5495731028658717e-08,"[5.6974841232444165e-05, 2.0000250593182742]",0.23421883583068848,0.015625

diffrential evolution algorithm,4.556293717698924e-09,4.556293717698924e-09,"[-3.0466425376952998e-05, 2.000014520296604]",0.24831676483154297,0.0

diffrential evolution algorithm,9.971174484818351e-14,9.971174484818351e-14,"[1.5785246471585035e-07, 2.000000003246464]",0.24973797798156738,0.0

diffrential evolution algorithm,3.5076608059128127e-12,3.5076608059128127e-12,"[2.0000002247189226, -9.090741689711951e-07]",0.24676299095153809,0.0

diffrential evolution algorithm,3.1658847592369734e-09,3.1658847592369734e-09,"[2.0000281129082356, 2.000001055158938]",0.2500126361846924,0.0

diffrential evolution algorithm,1.9172041471720725e-07,1.9172041471720725e-07,"[1.999825921472223, -0.0001327768951338796]",0.2515554428100586,0.0

diffrential evolution algorithm,1.424538149843671e-12,1.424538149843671e-12,"[1.9999994128645846, 1.0680236452077436e-07]",0.24768543243408203,0.0

diffrential evolution algorithm,4.230002376836569e-14,4.230002376836569e-14,"[2.0000000498105472, 2.000000089966185]",0.24699711799621582,0.0

diffrential evolution algorithm,4.995618635330127e-13,4.995618635330127e-13,"[1.9999996509204685, 2.000000055081657]",0.24674630165100098,0.0

diffrential evolution algorithm,1.1989034471683768e-07,1.1989034471683768e-07,"[1.999866786853564, 2.0001105796341743]",0.24826908111572266,0.0

diffrential evolution algorithm,3.6987465593303036e-07,3.6987465593303036e-07,"[1.9998890700779695, 0.00028317359817088225]",0.24898505210876465,0.0

diffrential evolution algorithm,3.670233552119833e-07,3.670233552119833e-07,"[0.0002313513518204485, 0.0001955818342788453]",0.247880220413208,0.0

diffrential evolution algorithm,1.222975021875495e-12,1.222975021875495e-12,"[2.0000003504105215, -4.2773367954470067e-07]",0.24932384490966797,0.0

diffrential evolution algorithm,6.607434108043802e-09,6.607434108043802e-09,"[2.000028717868136, -2.8759261215601518e-05]",0.24861979484558105,0.0

diffrential evolution algorithm,6.480126869064927e-08,6.480126869064927e-08,"[2.000090614921493, 1.9999106175453787]",0.23302268981933594,0.0

diffrential evolution algorithm,2.8289591420644394e-10,2.8289591420644394e-10,"[-7.55898776415089e-06, -3.6858107048528277e-06]",0.23431921005249023,0.0

diffrential evolution algorithm,1.3388281406445061e-08,1.3388281406445061e-08,"[-2.8587105662995446e-05, -5.0296094716597434e-05]",0.2317953109741211,0.0

diffrential evolution algorithm,9.75206701179592e-07,9.75206701179592e-07,"[-0.00026240290354535503, -0.0004181569058883004]",0.231001615524292,0.0

diffrential evolution algorithm,1.7363047347873215e-09,1.7363047347873215e-09,"[2.0000054839585713, 2.000020099604399]",0.24898552894592285,0.0

diffrential evolution algorithm,3.223323223172396e-11,3.223323223172396e-11,"[-2.7801780329900316e-06, 1.9999994265046972]",0.2468118667602539,0.0

diffrential evolution algorithm,1.1348002125872178e-09,1.1348002125872178e-09,"[1.9999851688431463, 7.983771709706454e-06]",0.24752140045166016,0.0

