method,average_function_value,average_error,average_time_duration,average_total_memory

Algorytm Strategii Ewolucyjnych,1.927611838737241e-09,1.927611838737241e-09,0.24989953756332398,0.00046875

Algorytm Genetyczny,0.0017116219547337738,0.0017116219547337738,0.25030614376068117,0.000390625

Algorytm Ewolucji Roznicowej,2.6639203841632927e-15,2.6639203841632927e-15,0.23535593032836913,0.00015625

System Sztucznego Rozpoznawania Ukladu Immunologicznego,0.06436949190634611,0.06436949190634611,0.23583758592605591,0.0012109375

Algorytm Selekcji Klonalnej,3.4273716688696044e-07,3.4273716688696044e-07,1.5761556148529052,0.01375

Algorytm Komorek Dendrytycznych,0.0419324046479983,0.0419324046479983,0.2349849271774292,0.0001171875

Algorytm Harmonijnego Przeszukiwania,0.3400505856881326,0.3400505856881326,0.23435955286026,0.0001953125

Algorytm Memetyczny,4.6567549848771835e-08,4.6567549848771835e-08,1.6193129706382752,0.0015234375

Algorytm Symulowanego Wyzarzania,1.7890575952092336,1.7890575952092336,0.23449888467788696,0.0

Zachlanny Algorytm Losowego Adaptacyjnego Przeszukiwania,0.012081746718304648,0.012081746718304648,0.25006500005722043,0.0

Losowe Poszukiwanie,1.3398525972012243,1.3398525972012243,0.2339353108406067,0.0

Przeszukiwanie z Zakazem,0.013191667898165851,0.013191667898165851,0.24990000009536742,0.0

System Mrowkowy,0.13919102211437412,0.13919102211437412,0.2344065022468567,0.0

Algorytm Optymalizacji Rojem Czastek,0.011944482857804964,0.011944482857804964,0.24905959606170655,0.0004296875

Algorytm Optymalizacji Poprzez Rozwoj Bakteryjny,4.78486251116936e-05,4.78486251116936e-05,14.718411643505096,0.0016015625

