method,average_function_value,average_error,average_time_duration,average_total_memory
Algorytm Ewolucji Roznicowej,5.956971828252824,5.956971828252824,0.3276910972595215,0.0029296875

Algorytm Strategii Ewolucyjnych,7.178567912398638,7.178567912398638,0.2974066948890686,0.0012109375

Algorytm Genetyczny,0.14780314073377526,0.14780314073377526,0.2967872214317322,0.0012109375

System Sztucznego Rozpoznawania Ukladu Immunologicznego,110.75362703683828,110.75362703683828,0.26442001819610594,0.0018359375

Algorytm Selekcji Klonalnej,81.50113591816879,81.50113591816879,6.315296473503113,0.0219921875

Algorytm Komorek Dendrytycznych,81.75629756136621,81.75629756136621,0.25905393362045287,0.0002734375

Algorytm Harmonijnego Przeszukiwania,30.971791867150433,30.971791867150433,0.23414736986160278,0.000546875

Algorytm Memetyczny,1.3379788422549114e-05,1.3379788422549114e-05,6.578285584449768,0.00234375

Algorytm Symulowanego Wyzarzania,154.1678978539715,154.1678978539715,0.2351597261428833,0.0

Zachlanny Algorytm Losowego Adaptacyjnego Przeszukiwania,50.47648221434788,50.47648221434788,0.2982772326469421,0.0

Losowe Poszukiwanie,123.53615498646555,123.53615498646555,0.2341296148300171,0.0

Przeszukiwanie z Zakazem,48.64880696126554,48.64880696126554,0.29700106143951416,0.0

System Mrowkowy,78.14356357135667,78.14356357135667,0.2480517840385437,0.0001171875

Algorytm Optymalizacji Rojem Czastek,45.2571740545099,45.2571740545099,0.2946266508102417,0.0012890625

Algorytm Optymalizacji Poprzez Rozwoj Bakteryjny,0.048353807637563535,0.048353807637563535,40.47951817512512,0.05078125

