method,function_value,error,arguments,time_duration,total_memory
Algorytm Ewolucji Roznicowej,2.9144746083243713e-06,2.9144746083243713e-06,"[0.0004993930228738787, 0.0010959752243137645, -0.001201906656227215, -0.00013906802089758033]",0.22526216506958008,0.0546875

Algorytm Ewolucji Roznicowej,1.9919717991882532e-05,1.9919717991882532e-05,"[0.0029445440334746314, 0.00039101369996588533, -0.00286542353921528, 0.0016987744565307812]",0.2318711280822754,0.0

Algorytm Ewolucji Roznicowej,3.245895976959728e-05,3.245895976959728e-05,"[0.005078820716912851, -2.543996051087693e-05, 0.0017263877067888673, 0.0019192389609716653]",0.24416089057922363,0.0

Algorytm Ewolucji Roznicowej,5.385500665998335e-06,5.385500665998335e-06,"[-0.0015543381202720453, 0.0009553052778392209, 0.0004923046396500697, 0.00134705665871152]",0.2299952507019043,0.0

Algorytm Ewolucji Roznicowej,1.2584177723738907e-05,1.2584177723738907e-05,"[-0.00156319367441382, 0.00270677902180747, -0.00012217365772398958, -0.0016730284470004879]",0.2322225570678711,0.0

Algorytm Ewolucji Roznicowej,7.76197229043986e-06,7.76197229043986e-06,"[-0.0023146499245081612, 0.0009036118520565053, 0.0005841230671168323, 0.0011165365559171188]",0.22989511489868164,0.0

Algorytm Ewolucji Roznicowej,1.0238547419324978e-06,1.0238547419324978e-06,"[-0.0008634788349936862, -1.4435176896024013e-05, 0.0005230197238486185, 6.708977257182755e-05]",0.2447190284729004,0.0

Algorytm Ewolucji Roznicowej,2.384528752219816e-06,2.384528752219816e-06,"[0.000678530252353593, -0.0010078366026505963, -0.0008604292631110534, -0.0004099418427053513]",0.23230314254760742,0.0

Algorytm Ewolucji Roznicowej,1.9988896557826532e-06,1.9988896557826532e-06,"[0.0007345962704523685, -0.00032789962421065364, -0.0009724569804133417, -0.0006372340487670143]",0.2437589168548584,0.0

Algorytm Ewolucji Roznicowej,8.553400168082567e-06,8.553400168082567e-06,"[-0.000740757876112156, 0.002720919517052182, 0.0007743905745233089, -3.992689412355907e-05]",0.23021817207336426,0.0

