method,average_function_value,average_error,average_time_duration,average_total_memory
Algorytm Ewolucji Roznicowej,0.13017841917070747,0.13017841917070747,0.2168528175354004,0.0001953125
Algorytm Strategii Ewolucyjnych,0.22132069855304434,0.22132069855304434,0.2170876145362854,0.00046875
Algorytm Genetyczny,0.07671834132531963,0.07671834132531963,0.21677533388137818,0.0004296875
System Sztucznego Rozpoznawania Ukladu Immunologicznego,0.12300102909073052,0.12300102909073052,0.2168080973625183,0.00125
Algorytm Selekcji Klonalnej,0.00013616910386379078,0.00013616910386379078,0.3580337572097778,0.013359375
Algorytm Komorek Dendrytycznych,0.2741733575600003,0.2741733575600003,0.2169698190689087,0.0001171875
Algorytm Harmonijnego Przeszukiwania,1.823792778144477,1.823792778144477,0.2170221734046936,0.000234375
Algorytm Memetyczny,3.4186169694980386e-05,3.4186169694980386e-05,0.3578339719772339,0.0022265625
Algorytm Symulowanego Wyzarzania,13.909551135373409,13.909551135373409,0.2166498875617981,3.90625e-05
Zachlanny Algorytm Losowego Adaptacyjnego Przeszukiwania,0.16281396809768406,0.16281396809768406,0.21673255920410156,0.0
Losowe Poszukiwanie,11.060686696749158,11.060686696749158,0.21728370904922487,0.0
Przeszukiwanie z Zakazem,0.15354185311170007,0.15354185311170007,0.21736064910888672,0.0
System Kolonii Mrowek,1.097059959780728,1.097059959780728,0.21694014310836793,0.0
Algorytm Optymalizacji Rojem Czastek,0.0580662190238303,0.0580662190238303,0.2195509624481201,0.00046875
Algorytm Optymalizacji Poprzez Rozwoj Bakteryjny,0.0002204891994230712,0.0002204891994230712,0.38876412868499755,0.0001953125
