method,function_value,error,arguments,time_duration,total_memory

Algorytm Ewolucji Roznicowej,0.0064193973586990135,0.0064193973586990135,"[-0.07901146409404536, -0.013288562767071355]",0.21098065376281738,0.01953125

Algorytm Ewolucji Roznicowej,0.036913841520874756,0.036913841520874756,"[-0.18621832665041826, 0.047292455427825675]",0.21842455863952637,0.0

Algorytm Ewolucji Roznicowej,0.029773496740591012,0.029773496740591012,"[-0.06837601336943144, 0.15842416967210005]",0.2161092758178711,0.0

Algorytm Ewolucji Roznicowej,0.04526598622510926,0.04526598622510926,"[-0.104951592084086, -0.185070660949068]",0.21786093711853027,0.0

Algorytm Ewolucji Roznicowej,0.41482666551660785,0.41482666551660785,"[0.2765634092053899, -0.581669447543276]",0.21586203575134277,0.0

Algorytm Ewolucji Roznicowej,0.05078716303234483,0.05078716303234483,"[-0.2019859922605356, 0.09994409418705885]",0.21944880485534668,0.0

Algorytm Ewolucji Roznicowej,0.09635090295192458,0.09635090295192458,"[-0.3073733584687947, -0.043272640958675224]",0.21771931648254395,0.0

Algorytm Ewolucji Roznicowej,0.031513953922307554,0.031513953922307554,"[0.17137531052915955, -0.04630828072107285]",0.21596860885620117,0.0

Algorytm Ewolucji Roznicowej,0.01747296307697702,0.01747296307697702,"[0.11883553174646444, 0.0578885089764114]",0.21744489669799805,0.0

Algorytm Ewolucji Roznicowej,0.22573098160660826,0.22573098160660826,"[0.47496975999929497, 0.011606407403689012]",0.21505045890808105,0.0

Algorytm Ewolucji Roznicowej,0.08315606042720593,0.08315606042720593,"[0.15821386499463097, -0.24109009384598656]",0.21310114860534668,0.0

Algorytm Ewolucji Roznicowej,0.015061285538047517,0.015061285538047517,"[0.11008605396772042, -0.05424339830674019]",0.2179245948791504,0.0

Algorytm Ewolucji Roznicowej,0.11289710511365139,0.11289710511365139,"[-0.27985075297885076, 0.18595876201680211]",0.21596264839172363,0.0

Algorytm Ewolucji Roznicowej,0.20863864281785274,0.20863864281785274,"[0.03932747468394071, -0.4550736122352479]",0.21739792823791504,0.0

Algorytm Ewolucji Roznicowej,0.1360441796466256,0.1360441796466256,"[0.2108742373866872, -0.3026156566557796]",0.21744632720947266,0.0

Algorytm Ewolucji Roznicowej,0.017133768385910103,0.017133768385910103,"[0.0738469634300479, -0.10807587324685963]",0.21648120880126953,0.0

Algorytm Ewolucji Roznicowej,0.12864385778641535,0.12864385778641535,"[0.16091906195761152, 0.3205447133943995]",0.21798491477966309,0.0

Algorytm Ewolucji Roznicowej,0.06952487615701519,0.06952487615701519,"[0.23498240916035296, 0.11961665244526642]",0.21736788749694824,0.0

Algorytm Ewolucji Roznicowej,0.7053576304072947,0.7053576304072947,"[-0.2074179192205139, -0.8138399333981634]",0.21563959121704102,0.0

Algorytm Ewolucji Roznicowej,0.202052440948206,0.202052440948206,"[0.4462155325433277, 0.054259925039392476]",0.21660852432250977,0.0

Algorytm Ewolucji Roznicowej,0.06189676325859153,0.06189676325859153,"[0.050769436243185306, -0.24355538918722508]",0.21742463111877441,0.0

Algorytm Ewolucji Roznicowej,0.04247646119631227,0.04247646119631227,"[0.2035510383629382, 0.03230225963739906]",0.21715855598449707,0.0

Algorytm Ewolucji Roznicowej,0.05939712741715219,0.05939712741715219,"[0.03866237382336912, 0.2406290677941762]",0.2180004119873047,0.0

Algorytm Ewolucji Roznicowej,0.2277469569987624,0.2277469569987624,"[0.3226809040356299, 0.3516020352181014]",0.2162485122680664,0.0

Algorytm Ewolucji Roznicowej,0.3362043121927187,0.3362043121927187,"[-0.5462777878896363, 0.19438336001603684]",0.21513748168945312,0.0

Algorytm Ewolucji Roznicowej,0.08595384688080396,0.08595384688080396,"[-0.24647718405357022, 0.1587540381276219]",0.21754050254821777,0.0

Algorytm Ewolucji Roznicowej,0.6700578896880396,0.6700578896880396,"[0.8035076533101554, 0.1563116782586853]",0.21561312675476074,0.0

Algorytm Ewolucji Roznicowej,0.4312919699024717,0.4312919699024717,"[0.6195648978996339, -0.2177872980526825]",0.2170107364654541,0.0

Algorytm Ewolucji Roznicowej,0.034231560589768076,0.034231560589768076,"[-0.17820682368246726, 0.04973820043763244]",0.21636700630187988,0.0

Algorytm Ewolucji Roznicowej,0.0002330737542198253,0.0002330737542198253,"[-0.014368180774719352, -0.0051603425704899175]",0.2164163589477539,0.0

Algorytm Ewolucji Roznicowej,0.024470463792433006,0.024470463792433006,"[-0.028165841444018902, 0.1538738092340064]",0.21564888954162598,0.0

