method,average_function_value,average_error,average_time_duration, average_total_memory
random search,5.81504411715306,5.81504411715306,0.22816076755523682,0.0001171875

particle swarm optimization algorithm,0.2264747506006607,0.2264747506006607,0.24860955238342286,0.0001171875

bacterial foarging optimization algorithm,0.0005126037072069443,0.0005126037072069443,19.255310778617858,0.0077734375

greedy randomized adaptive search,0.2729770543561867,0.2729770543561867,0.25102933406829836,0.000234375

tabu search,0.32136096837740374,0.32136096837740374,0.250787832736969,0.0002734375

diffrential evolution algorithm,8.088185379990121e-09,8.088185379990121e-09,0.2491225481033325,7.8125e-05
evolution strategies algorithm search,0.00024622017747877886,0.00024622017747877886,0.2502836966514587,7.8125e-05
genetic algorithm,0.005139659689363058,0.005139659689363058,0.2518163323402405,7.8125e-05
artificial immune recognition system,0.06868168271886418,0.06868168271886418,0.2445599055290222,0.00203125
colonal selection algorithm,0.0010697898032188578,0.0010697898032188578,2.195394721031189,0.014296875
dendritic cell algorithm,0.6979691264406562,0.6979691264406562,0.23472306489944458,7.8125e-05
harmony search algorithm,1.1478139264942984,1.1478139264942984,0.23344985246658326,7.8125e-05
mematic algorithm,6.985132477315789e-08,6.985132477315789e-08,2.361415328979492,0.00109375
physical annealing algorithm,8.563298774432683,8.563298774432683,0.2184286570549011,0.0001171875
ant colony system,1.3223382808747595,1.3223382808747595,0.23436443567276,7.8125e-05
