method,function_value,error,arguments,time_duration
diffrential evolution algorithm,2.6663658375097954e-09,2.6663658375097954e-09,"[-1.1731499796708563e-05, 1.3684289258918548e-05, -4.838882079063168e-05]",0.031049489974975586
diffrential evolution algorithm,7.452432531289788e-10,7.452432531289788e-10,"[-6.677811026526499e-07, 1.7913058093001844e-05, -2.058930963594117e-05]",0.02973318099975586
diffrential evolution algorithm,1.0981191805745644e-09,1.0981191805745644e-09,"[1.9606878834889673e-05, 2.153993566249435e-05, -1.580255215413396e-05]",0.031191349029541016
diffrential evolution algorithm,4.629790761389775e-10,4.629790761389775e-10,"[2.105990738267833e-05, 4.293394884504156e-06, -1.0129844706123812e-06]",0.030989408493041992
diffrential evolution algorithm,1.5470317679607233e-09,1.5470317679607233e-09,"[-3.167607396214877e-05, -8.990142294605623e-06, 2.151361075756339e-05]",0.03191328048706055
diffrential evolution algorithm,1.5308570981137513e-08,1.5308570981137513e-08,"[0.00010475784961898941, 6.292677303658525e-05, -1.9354202632627408e-05]",0.03130078315734863
diffrential evolution algorithm,3.320154840303775e-09,3.320154840303775e-09,"[4.609696998223966e-05, -1.1002498273831674e-05, -3.277452105667758e-05]",0.029717445373535156
diffrential evolution algorithm,2.694825737070243e-09,2.694825737070243e-09,"[1.0626229209499148e-05, -4.333120488636579e-05, 2.6538946342182076e-05]",0.030125141143798828
diffrential evolution algorithm,1.1784038600005424e-09,1.1784038600005424e-09,"[-1.8382868745547831e-06, -3.331382895326316e-05, 8.075479047097285e-06]",0.029894351959228516
diffrential evolution algorithm,2.638526881963836e-09,2.638526881963836e-09,"[-4.840155925575482e-06, 4.717879898983018e-05, 1.9729690784630954e-05]",0.030103445053100586
diffrential evolution algorithm,9.767253038450136e-09,9.767253038450136e-09,"[6.916880659533727e-05, -4.413904164233379e-05, 5.508787739170285e-05]",0.031140565872192383
diffrential evolution algorithm,3.1511487456635257e-09,3.1511487456635257e-09,"[-5.388177330853896e-05, 8.870806386312096e-06, -1.3008153014448627e-05]",0.03567028045654297
diffrential evolution algorithm,4.209137905947689e-10,4.209137905947689e-10,"[1.1756244932219025e-05, -3.0569899319183723e-06, 1.6533581228656817e-05]",0.0326542854309082
diffrential evolution algorithm,7.442163154864621e-09,7.442163154864621e-09,"[-8.04991471862145e-05, 5.07516006394913e-06, -3.059890859952509e-05]",0.03525805473327637
