,Algorytm Ewolucji Roznicowej,Algorytm Genetyczny,Algorytm Harmonijnego Przeszukiwania,Algorytm Komorek Dendrytycznych,Algorytm Memetyczny,Algorytm Optymalizacji Poprzez Rozwoj Bakteryjny,Algorytm Optymalizacji Rojem Czastek,Algorytm Selekcji Klonalnej,Algorytm Strategii Ewolucyjnych search,Algorytm Symulowanego Wyzarzania,Losowe Poszukiwanie,Przeszukiwanie z Zakazem,System Kolonii Mrowek,System Sztucznego Rozpoznawania Ukladu Immunologicznego,Zachlanny Algorytm Losowego Adaptacyjnego Przeszukiwania
Algorytm Ewolucji Roznicowej,1.0,1.8537752076858396e-14,3.8144590841997065e-68,1.594989515232374e-58,0.03623307666278569,3.909543818502418e-10,4.516660189126358e-38,4.173825809830213e-06,0.004522518823013585,1.9516583870094594e-103,2.2020358032143487e-100,5.275566178160743e-44,1.1810315386491843e-73,9.74999070916134e-25,6.15271586662902e-42
Algorytm Genetyczny,1.8537752076858396e-14,1.0,1.3221723664129999e-22,2.482567777636863e-17,2.6053038507074402e-08,0.16068028681714575,1.6114529842338595e-07,0.002229304700767675,1.4271656508028716e-06,3.839851309627601e-44,3.562172815379259e-42,4.0342056032172554e-10,9.184542273813666e-26,0.00909864094643229,3.459379835682669e-09
Algorytm Harmonijnego Przeszukiwania,3.8144590841997065e-68,1.3221723664129999e-22,1.0,0.18847533824154006,3.550967998799835e-53,4.7460166309989155e-29,5.509098357826198e-06,9.586964949589343e-38,2.6127270281400386e-48,3.2954160659928134e-05,0.00013087631035108198,0.00041390913052561176,0.4774214158322748,7.208246222350408e-13,0.00010636858998960045
Algorytm Komorek Dendrytycznych,1.594989515232374e-58,2.482567777636863e-17,0.18847533824154006,1.0,9.555885272785853e-45,5.536641153935095e-23,0.0012409327271597338,9.700860930491726e-31,2.6521067525419684e-40,4.573778379193317e-08,2.748751008181866e-07,0.026694930871017247,0.04281001327686698,4.619677387976649e-09,0.010452686169601301
Algorytm Memetyczny,0.03623307666278569,2.6053038507074402e-08,3.550967998799835e-53,9.555885272785853e-45,1.0,3.136877503513163e-05,3.244342235267354e-27,0.01213372116140661,0.45632657449069924,1.058581305718004e-84,6.028755500451307e-82,3.1218265898914975e-32,4.8428608748279956e-58,2.973230314458578e-16,1.777161765959333e-30
Algorytm Optymalizacji Poprzez Rozwoj Bakteryjny,3.909543818502418e-10,0.16068028681714575,4.7460166309989155e-29,5.536641153935095e-23,3.136877503513163e-05,1.0,3.091719653181062e-11,0.09791159064105688,0.0006299377612554297,4.224188108749787e-53,6.188264587688662e-51,1.925829261859614e-14,1.226864891631588e-32,6.0433255783668554e-05,2.6525439991242e-13
Algorytm Optymalizacji Rojem Czastek,4.516660189126358e-38,1.6114529842338595e-07,5.509098357826198e-06,0.0012409327271597338,3.244342235267354e-27,3.091719653181062e-11,1.0,1.065952338209076e-16,8.256069174547068e-24,3.4248294577377495e-18,5.800705852244856e-17,0.31089257419287775,1.481373591950791e-07,0.008512849194427886,0.5036114951447389
Algorytm Selekcji Klonalnej,4.173825809830213e-06,0.002229304700767675,9.586964949589343e-38,9.700860930491726e-31,0.01213372116140661,0.09791159064105688,1.065952338209076e-16,1.0,0.07784619035115524,9.154366315050118e-65,2.300159586616779e-62,1.2717284463790537e-20,7.703936569732832e-42,1.4601927170874677e-08,3.074316969396957e-19
Algorytm Strategii Ewolucyjnych search,0.004522518823013585,1.4271656508028716e-06,2.6127270281400386e-48,2.6521067525419684e-40,0.45632657449069924,0.0006299377612554297,8.256069174547068e-24,0.07784619035115524,1.0,1.6986382630292286e-78,7.586362522741167e-76,1.67983271524701e-28,6.035792400166223e-53,1.0901030179851165e-13,7.412478751423622e-27
Algorytm Symulowanego Wyzarzania,1.9516583870094594e-103,3.839851309627601e-44,3.2954160659928134e-05,4.573778379193317e-08,1.058581305718004e-84,4.224188108749787e-53,3.4248294577377495e-18,9.154366315050118e-65,1.6986382630292286e-78,1.0,0.7434980924035963,1.5530730180437545e-14,0.0005783440236920204,9.595335054570588e-30,9.938676829751372e-16
Losowe Poszukiwanie,2.2020358032143487e-100,3.562172815379259e-42,0.00013087631035108198,2.748751008181866e-07,6.028755500451307e-82,6.188264587688662e-51,5.800705852244856e-17,2.300159586616779e-62,7.586362522741167e-76,0.7434980924035963,1.0,1.897067077217574e-13,0.00184352077902329,3.8116032015956113e-28,1.3565231665957128e-14
Przeszukiwanie z Zakazem,5.275566178160743e-44,4.0342056032172554e-10,0.00041390913052561176,0.026694930871017247,3.1218265898914975e-32,1.925829261859614e-14,0.31089257419287775,1.2717284463790537e-20,1.67983271524701e-28,1.5530730180437545e-14,1.897067077217574e-13,1.0,2.2202220648597736e-05,0.0002680443982514679,0.7304456476779171
